run_name,cfg,Total money_made,Total distance driven,Average profit,Customers served,Customers cancelled,Waiting time,Average free time,Highest earning taxi id,Highest earning taxi per hour,Lowest earning taxi id,Lowest earning taxi per hour
,"cr=closest, ms=batching, bl=0.01",13606.928393237215,5678.464196618607,119.91572647993748,744,0,333.656430992468,3.27864289120547,2,37.39447679790197,102,0.0
,"cr=closest, ms=batching, bl=0.05",14561.876454547897,6094.438227273949,146.62625064937478,779,0,740.231477259739,2.38114499553008,91,80.2714202326573,90,0.0
,"cr=closest, ms=batching, bl=0.1",14036.755799855322,5885.877899927661,153.09024071273566,743,0,904.1240187728935,2.3208990080504086,84,149.61413486528224,83,0.0
,"cr=closest, ms=batching, bl=0.2",13932.941920548186,5820.470960274093,123.96939542226572,751,0,387.52163668178673,2.970692453356302,97,32.013813354550706,101,0.0
,"cr=shortest, ms=None, bl=None",12436.885483006768,7744.812108167748,108.87923061373212,678,0,595.098753546916,0.9709227602483981,82,35.845888806474676,97,0.0
,"cr=longest, ms=None, bl=None",13171.889716358019,8973.718000122617,116.0933277176887,719,0,958.07950748019,0.7427136909275925,24,30.359679427195317,96,0.0
,"cr=closest, ms=None, bl=None",13311.32554349766,7499.178789006812,140.61297363924163,722,0,595.9406460675384,0.7719643663266909,4,40.190228668188674,82,0.0
,"cr=closest, ms=allow_rellocation, bl=None",26021.320319793223,89457.40477651292,78.93047926689934,704,0,0,3.1402317620560862,5,114.17991598211785,58,6.179632711172682
,"cr=closest, ms=batching, bl=0.01",13947.438456962967,5809.719228481485,180.07738889107983,765,0,779.9507555945122,2.0050523302307957,69,45.886764694675016,25,27.64475049841459
,"cr=closest, ms=batching, bl=0.05",14221.599797852352,5943.799898926179,151.54464904729215,764,0,457.8591204079189,2.6282190815043895,3,38.529895710121856,86,0.0
,"cr=closest, ms=batching, bl=0.1",14881.750862054047,6242.375431027024,160.39147971586632,786,0,1048.124990519247,2.2854182835983146,85,72.88633160789877,83,16.33822211779865
